zip5,po_name,primary_ruca,secondary_ruca,ruca_category
33195,Miami,1,1,urban
33196,Miami,1,1,urban
33197,Miami,1,1,urban
33198,Miami,1,1,urban
33199,Miami,1,1,urban
33206,Miami,1,1,urban
33222,Miami,1,1,urban
33231,Miami,1,1,urban
33233,Miami,1,1,urban
33234,Miami,1,1,urban
33238,Miami,1,1,urban
33239,Miami Beach,1,1,urban
33242,Miami,1,1,urban
33243,Miami,1,1,urban
33245,Miami,1,1,urban
33247,Miami,1,1,urban
33255,Miami,1,1,urban
33256,Miami,1,1,urban
33257,Miami,1,1,urban
33261,Miami,1,1,urban
33265,Miami,1,1,urban
33266,Miami,1,1,urban
33269,Miami,1,1,urban
33280,Miami,1,1,urban
33283,Miami,1,1,urban
33296,Miami,1,1,urban
33299,Miami,1,1,urban
33301,Fort Lauderdale,1,1,urban
33302,Fort Lauderdale,1,1,urban
33303,Fort Lauderdale,1,1,urban
33304,Fort Lauderdale,1,1,urban
33305,Fort Lauderdale,1,1,urban
33306,Fort Lauderdale,1,1,urban
33307,Fort Lauderdale,1,1,urban
33308,Fort Lauderdale,1,1,urban
33309,Fort Lauderdale,1,1,urban
33310,Fort Lauderdale,1,1,urban
33311,Fort Lauderdale,1,1,urban
33312,Fort Lauderdale,1,1,urban
33313,Fort Lauderdale,1,1,urban
33314,Fort Lauderdale,1,1,urban
33315,Fort Lauderdale,1,1,urban
33316,Fort Lauderdale,1,1,urban
33317,Fort Lauderdale,1,1,urban
33318,Fort Lauderdale,1,1,urban
33319,Fort Lauderdale,1,1,urban
33320,Fort Lauderdale,1,1,urban
33321,Fort Lauderdale,1,1,urban
33322,Fort Lauderdale,1,1,urban
33323,Fort Lauderdale,1,1,urban
33324,Fort Lauderdale,1,1,urban
33325,Fort Lauderdale,1,1,urban
33326,Fort Lauderdale,1,1,urban
33327,Fort Lauderdale,1,1,urban
33328,Fort Lauderdale,1,1,urban
33329,Fort Lauderdale,1,1,urban
33330,Fort Lauderdale,1,1,urban
33331,Fort Lauderdale,1,1,urban
33332,Fort Lauderdale,1,1,urban
33334,Fort Lauderdale,1,1,urban
33335,Fort Lauderdale,1,1,urban
33336,Fort Lauderdale,1,1,urban
33337,Fort Lauderdale,1,1,urban
33338,Fort Lauderdale,1,1,urban
33339,Fort Lauderdale,1,1,urban
33340,Fort Lauderdale,1,1,urban
33345,Fort Lauderdale,1,1,urban
33346,Fort Lauderdale,1,1,urban
33348,Fort Lauderdale,1,1,urban
33349,Fort Lauderdale,1,1,urban
33351,Fort Lauderdale,1,1,urban
33355,Fort Lauderdale,1,1,urban
33359,Fort Lauderdale,1,1,urban
33388,Plantation,1,1,urban
33394,Fort Lauderdale,1,1,urban
33401,West Palm Beach,1,1,urban
33402,West Palm Beach,1,1,urban
33403,West Palm Beach,1,1,urban
33404,West Palm Beach,1,1,urban
33405,West Palm Beach,1,1,urban
33406,West Palm Beach,1,1,urban
33407,West Palm Beach,1,1,urban
33408,North Palm Beach,1,1,urban
33409,West Palm Beach,1,1,urban
33410,Palm Beach Gardens,1,1,urban
33411,West Palm Beach,1,1,urban
33412,West Palm Beach,1,1,urban
33413,West Palm Beach,1,1,urban
33414,Wellington,1,1,urban
